Year,Other,Migration and refugees,Microeconomic policy,East-West Relations (Russia),IFI/UN reform,International cooperation,Drugs,Labour & Employment,Education,ICT,Financial regulation,Good governance,Democracy & human rights,Gender,Food & Agriculture,Macroeconomic policy,Peace & security,Crime and Corruption,Trade,Nonproliferation,Terrorism,Health,Energy,Environment,Development
1997,2.0689655172413794,0.6896551724137931,0.0,1.3793103448275863,3.4482758620689653,0.0,3.4482758620689653,0.0,0.0,0.0,6.206896551724138,0.0,6.206896551724138,0.0,0.0,4.827586206896552,5.517241379310345,14.482758620689657,4.137931034482759,8.96551724137931,8.96551724137931,2.7586206896551726,0.6896551724137931,13.10344827586207,13.10344827586207
1998,1.36986301369863,0.0,1.36986301369863,0.0,0.0,1.36986301369863,1.36986301369863,2.73972602739726,2.73972602739726,4.10958904109589,2.73972602739726,1.36986301369863,5.47945205479452,0.0,0.0,1.36986301369863,2.73972602739726,12.32876712328767,12.32876712328767,13.698630136986301,0.0,5.47945205479452,2.73972602739726,15.068493150684931,9.58904109589041
1999,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,4.3478260869565215,10.869565217391305,0.0,4.3478260869565215,0.0,0.0,6.521739130434782,0.0,0.0,0.0,0.0,2.1739130434782608,15.217391304347828,15.217391304347828,0.0,6.521739130434782,0.0,13.043478260869565,17.391304347826086
2000,5.714285714285714,0.0,0.0,0.0,0.9523809523809524,1.9047619047619049,6.666666666666667,0.0,0.9523809523809524,3.8095238095238098,4.761904761904762,0.0,0.0,0.0,2.857142857142857,0.9523809523809524,0.0,13.333333333333334,3.8095238095238098,8.571428571428571,3.8095238095238098,13.333333333333334,0.9523809523809524,9.523809523809524,18.095238095238095
2001,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,1.7241379310344827,1.7241379310344827,8.620689655172415,6.896551724137931,5.172413793103448,0.0,10.344827586206897,0.0,3.4482758620689653,1.7241379310344827,3.4482758620689653,8.620689655172415,6.896551724137931,0.0,0.0,5.172413793103448,3.4482758620689653,12.068965517241379,17.24137931034483
2002,0.0,0.0,0.53475935828877,0.0,0.0,0.53475935828877,0.53475935828877,0.0,6.417112299465241,3.2085561497326207,1.6042780748663104,1.6042780748663104,3.7433155080213902,1.06951871657754,8.55614973262032,0.53475935828877,10.16042780748663,3.2085561497326207,5.347593582887701,12.299465240641712,10.695187165775401,9.62566844919786,0.0,2.13903743315508,18.181818181818183
2003,0.975609756097561,0.0,0.0,0.0,0.0,0.4878048780487805,0.0,0.4878048780487805,0.0,1.4634146341463417,0.975609756097561,0.4878048780487805,0.4878048780487805,0.0,7.804878048780488,2.9268292682926833,0.0,8.292682926829269,3.902439024390244,12.682926829268293,17.560975609756095,7.317073170731707,6.829268292682928,15.609756097560975,11.707317073170733
2004,0.3968253968253968,3.1746031746031744,0.0,0.0,0.0,2.380952380952381,0.3968253968253968,0.3968253968253968,5.555555555555555,0.0,0.0,0.0,2.7777777777777777,0.0,19.444444444444446,0.3968253968253968,6.349206349206349,6.349206349206349,1.1904761904761905,10.317460317460316,13.095238095238097,3.571428571428571,0.0,3.1746031746031744,21.03174603174603
2005,0.9433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,0.4716981132075472,0.9433962264150944,4.716981132075472,0.0,1.4150943396226416,1.8867924528301887,5.660377358490567,8.49056603773585,7.0754716981132075,7.0754716981132075,6.60377358490566,5.188679245283019,26.88679245283019,11.79245283018868,9.90566037735849
2006,0.31545741324921134,0.0,0.0,0.0,0.0,1.2618296529968454,0.0,0.0,11.35646687697161,0.6309148264984227,0.0,1.2618296529968454,0.0,0.0,0.31545741324921134,0.0,1.2618296529968454,7.255520504731862,2.5236593059936907,5.678233438485805,7.255520504731862,18.92744479495268,24.605678233438486,7.886435331230284,9.779179810725552
2007,0.303951367781155,0.0,0.0,0.0,0.0,1.82370820668693,0.303951367781155,0.911854103343465,1.5197568389057752,0.0,0.0,3.64741641337386,0.303951367781155,0.60790273556231,0.303951367781155,3.343465045592705,6.079027355623101,8.51063829787234,1.82370820668693,10.030395136778116,8.814589665653495,12.76595744680851,12.462006079027356,11.854103343465045,14.58966565349544
2008,0.0,0.0,1.6891891891891893,0.0,0.33783783783783783,0.33783783783783783,0.0,0.0,3.040540540540541,1.3513513513513513,2.364864864864865,1.6891891891891893,1.0135135135135136,0.0,9.121621621621621,2.027027027027027,9.797297297297296,1.6891891891891893,4.054054054054054,7.77027027027027,4.054054054054054,6.418918918918918,8.783783783783784,22.2972972972973,11.824324324324325
2009,0.7874015748031495,0.0,0.39370078740157477,0.0,1.574803149606299,1.1811023622047243,0.0,0.0,0.7874015748031495,1.1811023622047243,5.905511811023622,5.511811023622047,0.0,0.0,7.874015748031496,5.905511811023622,7.874015748031496,4.724409448818897,3.543307086614173,2.7559055118110236,1.574803149606299,3.543307086614173,11.023622047244094,19.68503937007874,14.173228346456693
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8493150684931505,0.0,0.0,2.73972602739726,0.0,16.43835616438356,0.0,5.47945205479452,10.95890410958904,17.80821917808219,16.43835616438356,1.36986301369863,16.43835616438356,5.47945205479452
2011,1.0362694300518136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072538860103627,2.5906735751295336,0.0,14.507772020725387,2.072538860103627,0.0,2.072538860103627,5.699481865284974,3.6269430051813467,3.1088082901554404,7.253886010362693,23.83419689119171,4.145077720207254,3.6269430051813467,1.0362694300518136,8.290155440414509,15.025906735751295
2012,0.0,0.0,0.0,0.0,1.4184397163120568,4.964539007092199,0.0,1.4184397163120568,0.7092198581560284,0.0,0.7092198581560284,4.25531914893617,2.8368794326241136,0.0,4.25531914893617,7.801418439716312,0.0,21.27659574468085,6.382978723404255,10.638297872340425,1.4184397163120568,0.7092198581560284,16.312056737588655,3.546099290780142,11.347517730496454
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4018691588785046,0.0,8.411214953271028,13.551401869158877,14.018691588785046,0.0,0.0,6.5420560747663545,7.476635514018691,14.953271028037381,4.672897196261682,11.214953271028037,0.9345794392523363,0.0,0.9345794392523363,0.0,11.214953271028037,4.672897196261682
2014,0.0,0.0,0.0,0.0,0.0,0.7092198581560284,0.0,0.0,0.0,0.0,5.673758865248227,4.25531914893617,5.673758865248227,0.0,2.8368794326241136,2.127659574468085,9.929078014184398,9.219858156028367,8.51063829787234,0.7092198581560284,2.8368794326241136,8.51063829787234,13.47517730496454,9.219858156028367,15.602836879432624
2015,0.26595744680851063,0.0,0.7978723404255319,0.0,0.0,0.5319148936170213,0.0,6.382978723404255,0.0,0.0,4.521276595744681,1.3297872340425532,4.521276595744681,6.648936170212766,14.627659574468085,3.723404255319149,7.180851063829788,0.26595744680851063,3.723404255319149,2.127659574468085,1.3297872340425532,16.22340425531915,5.319148936170213,9.042553191489363,11.436170212765957
2016,0.5847953216374269,0.0,0.0,0.0,0.29239766081871343,0.0,0.0,1.461988304093567,0.0,6.725146198830409,1.461988304093567,1.7543859649122806,1.7543859649122806,9.941520467836257,1.1695906432748537,5.263157894736842,5.847953216374268,9.649122807017543,2.923976608187134,2.3391812865497075,9.064327485380117,24.853801169590643,4.678362573099415,3.508771929824561,6.725146198830409
2017,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,1.1111111111111112,2.7777777777777777,0.0,0.0,1.1111111111111112,38.333333333333336,5.555555555555555,2.7777777777777777,5.555555555555555,0.5555555555555556,6.111111111111111,0.5555555555555556,25.0,3.888888888888889,3.3333333333333335,0.5555555555555556,1.1111111111111112
2018,1.5873015873015872,0.31746031746031744,0.0,0.31746031746031744,0.0,0.31746031746031744,0.0,3.1746031746031744,0.6349206349206349,7.301587301587302,0.0,0.0,5.714285714285714,22.857142857142858,0.0,4.1269841269841265,0.9523809523809524,1.5873015873015872,1.5873015873015872,0.31746031746031744,1.5873015873015872,2.857142857142857,1.5873015873015872,33.01587301587301,10.158730158730158
Total,0.6012024048096193,0.3097103297504099,0.38258334851521225,0.4008016032064128,0.6740754235744215,0.7833849517216251,0.7833849517216251,1.5485516487520496,1.7671707050464565,2.040444525414465,2.2044088176352705,2.5323374020768807,2.750956458371288,3.7165239570049193,4.591000182182547,4.9553652760065585,5.31973036983057,5.337948624521771,6.157770085625797,6.704317726361815,6.86828201858262,7.469484423392239,8.343960648569867,11.076698852249955,12.661687010384407
